[06:10:50.470] WRITE: PID 37508 (python3): file '5' (inode: 8), size: 108 bytes, LBA: 0, flags: O_RDWR
[06:10:50.470] READ: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.472] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.472] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.473] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.473] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 161 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.474] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.475] READ: PID 1311 (KMS thread): file 'card0' (inode: 665), size: 1024 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.475] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.475] WRITE: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.475] READ: PID 1311 (KMS thread): file '[eventfd]' (inode: 62), size: 8 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.476] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.476] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.477] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65068 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.477] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 831 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.477] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 804 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.478] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.478] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 123 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.478] READ: PID 37506 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.479] WRITE: PID 37506 (sudo): file 'tty' (inode: 12), size: 134 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.482] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.484] WRITE: PID 48373 (sudo): file 'tty' (inode: 12), size: 248 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
[06:10:50.484] READ: PID 48373 (sudo): file 'ptmx' (inode: 89), size: 65536 bytes, LBA: 0, flags: O_RDWR|O_NONBLOCK
